,7864,7859,3319,7863,3875,3874,Label
SRR13662062,1,1,1,0,0,1,0
SRR13662063,0,0,0,1,1,0,1
SRR13662064,1,1,1,0,0,1,1
SRR13662065,1,1,1,0,0,1,1
SRR13662066,1,1,1,0,0,1,1
SRR13662067,0,0,0,1,1,0,1
SRR13662068,0,0,0,1,1,0,1
SRR13662069,1,1,1,0,1,1,1
SRR13662070,0,0,0,1,1,0,1
SRR13662071,1,1,1,0,0,1,1
SRR13662073,1,1,1,0,0,1,0
SRR13662074,0,0,0,1,1,0,1
SRR13662075,0,0,0,1,1,0,1
SRR13662076,0,0,0,1,1,0,1
SRR13662077,0,0,0,1,1,0,1
SRR13662078,0,0,0,1,1,0,1
SRR13662079,0,0,0,1,1,0,1
SRR13662081,1,1,1,0,0,1,1
SRR13662082,0,0,0,1,1,0,1
SRR13662083,0,0,0,1,1,0,1
SRR13662085,0,0,0,1,1,0,1
SRR13662086,0,0,0,1,1,0,1
SRR13662087,0,0,0,1,1,0,1
SRR13662088,0,0,0,1,1,0,1
SRR13662089,0,0,0,1,1,0,1
SRR13662090,1,1,1,0,0,1,1
SRR13662091,1,1,1,0,0,1,1
SRR13662092,1,1,1,0,0,1,1
SRR13662093,0,0,0,1,1,0,1
SRR13662094,0,0,0,1,1,0,1
SRR13662095,0,0,1,0,0,1,0
SRR13662096,0,0,0,1,1,0,1
SRR13662097,0,0,0,1,1,0,1
SRR13662098,0,0,0,1,1,0,1
SRR13662099,1,1,1,0,0,1,1
SRR13662100,1,1,1,0,0,1,1
SRR13662101,1,1,1,0,0,1,1
SRR13662102,1,1,1,0,0,1,1
SRR13662103,0,0,0,1,1,0,1
SRR13662104,0,0,0,1,1,0,1
SRR13662105,0,0,0,1,1,0,1
SRR13662106,1,1,1,0,0,1,0
SRR13662107,0,0,0,1,1,0,1
SRR13662108,0,0,0,1,1,0,1
SRR13662109,0,0,0,1,1,0,1
SRR13662110,0,0,0,1,1,0,1
SRR13662111,0,0,0,1,1,0,1
SRR13662112,0,0,0,1,1,0,1
SRR13662113,0,0,0,1,1,0,1
SRR13662114,0,0,0,1,1,0,1
