SRR3202808	Cabbage	Cheng2016	7631833100
SRR3202809	Cabbage	Cheng2016	4230547200
SRR3202810	Cabbage	Cheng2016	6261380400
SRR3202811	Cabbage	Cheng2016	4412113700
SRR3202820	Cabbage	Cheng2016	4243910300
SRR3202827	Cabbage	Cheng2016	5174709600
SRR3202833	Cabbage	Cheng2016	5113947400
SRR3202834	Cabbage	Cheng2016	1954004538
SRR3202835	Cabbage	Cheng2016	2985941038
SRR3202836	Cabbage	Cheng2016	3951944666
SRR3202837	Cabbage	Cheng2016	3999808922
SRR3202838	Cabbage	Cheng2016	1918960619
SRR3202868	Cabbage	Cheng2016	6390098000
SRR3202869	Pointed_Cabbage	Cheng2016	7152258000
SRR3202870	Pointed_Cabbage	Cheng2016	8290484600
SRR3202873	Pointed_Cabbage	Cheng2016	7012846600
SRR3202875	White_Cabbage	Cheng2016	7368247600
SRR3202876	White_Cabbage	Cheng2016	7351186800
SRR3202877	White_Cabbage	Cheng2016	7358910600
SRR3202881	White_Cabbage	Cheng2016	7708747400
SRR3202882	White_Cabbage	Cheng2016	7413413800
SRR3202883	White_Cabbage	Cheng2016	6773666000
SRR3202885	White_Cabbage	Cheng2016	7283428600
SRR3202912	White_Cabbage	Cheng2016	7227465000
SRR3203045	White_Cabbage	Cheng2016	7346344800
SRR3203047	White_Cabbage	Cheng2016	5848999200
SRR3203048	White_Cabbage	Cheng2016	5680513400
SRR3203049	Cabbage	Cheng2016	5228326800
SRR3203050	Cabbage	Cheng2016	6044401500
SRR3203051	Kohlrabi	Cheng2016	6910105600
SRR3203052	Kohlrabi	Cheng2016	7555200600
SRR3203053	Kohlrabi	Cheng2016	7213878400
SRR3203054	Kohlrabi	Cheng2016	7491104600
SRR3203055	Kohlrabi	Cheng2016	7480622600
SRR3203056	Kohlrabi	Cheng2016	5143284600
SRR3203072	Kohlrabi	Cheng2016	6938172000
SRR3203074	Kohlrabi	Cheng2016	6908558200
SRR3203075	Kohlrabi	Cheng2016	7516669000
SRR3203076	Kohlrabi	Cheng2016	7645926800
SRR3203077	Kohlrabi	Cheng2016	7408415000
SRR3203079	Kohlrabi	Cheng2016	7740241400
SRR3203080	Kohlrabi	Cheng2016	7589330800
SRR3203082	Kohlrabi	Cheng2016	7647793400
SRR3203083	Kohlrabi	Cheng2016	7249252000
SRR3203084	Kohlrabi	Cheng2016	4558735200
SRR3203086	Kohlrabi	Cheng2016	6556459100
SRR3203087	Kohlrabi	Cheng2016	4656096400
SRR3203089	Kohlrabi	Cheng2016	4753152800
SRR3203096	Cauliflower	Cheng2016	7585219600
SRR3203104	Cauliflower	Cheng2016	7625849200
SRR3203105	Cauliflower	Cheng2016	7201103200
SRR3203106	Cauliflower	Cheng2016	7381486200
SRR3203107	Cauliflower	Cheng2016	7239828800
SRR3203108	Cauliflower	Cheng2016	7130175200
SRR3203109	Cauliflower	Cheng2016	7129273800
SRR3203115	Cauliflower	Cheng2016	7313580600
SRR3203119	Cauliflower	Cheng2016	7207803200
SRR3203120	Cauliflower	Cheng2016	6842441400
SRR3203127	Cauliflower	Cheng2016	6860958600
SRR3203131	Cauliflower	Cheng2016	6546493400
SRR3203136	Cauliflower	Cheng2016	7456089800
SRR3203140	Cauliflower	Cheng2016	7542704000
SRR3203144	Cauliflower	Cheng2016	6860360800
SRR3203147	Cauliflower	Cheng2016	4802205500
SRR3203151	Cauliflower	Cheng2016	5032797300
SRR3203155	Cauliflower	Cheng2016	4637790100
SRR3203157	Cauliflower	Cheng2016	4067639600
