,Label,3875,7863,3874,3319,7859,7864,3199,6182,5262
SRR13662027,0,0,0,1,1,1,1,1,1,1
SRR13662028,0,0,0,1,1,1,1,1,1,1
SRR13662029,0,0,0,1,1,1,1,1,1,1
SRR13662030,0,0,0,1,1,1,0,1,1,1
SRR13662031,0,0,0,1,1,1,1,1,1,1
SRR13662032,0,0,0,1,1,1,1,1,1,1
SRR13662033,1,0,0,1,1,1,1,1,0,1
SRR13662034,0,0,0,1,0,1,1,0,0,0
SRR13662035,0,0,0,1,1,1,1,1,1,1
SRR13662037,0,0,0,1,1,1,1,0,0,0
SRR13662038,0,0,0,1,1,1,1,0,0,0
SRR13662039,0,0,0,1,1,1,1,1,1,1
SRR13662040,0,0,0,1,1,1,1,1,0,1
SRR13662041,0,0,0,1,1,1,0,1,0,1
SRR13662042,0,0,0,1,1,1,1,1,0,1
SRR13662043,0,0,0,1,1,1,1,1,1,1
SRR13662044,1,1,1,0,0,0,0,0,0,0
SRR13662045,0,0,0,1,1,1,1,1,0,1
SRR13662046,0,0,0,1,1,0,0,1,1,1
SRR13662047,0,0,0,1,1,1,1,1,0,1
SRR13662048,0,0,0,1,1,1,1,1,1,1
SRR13662049,0,0,0,1,1,1,1,1,1,1
SRR13662050,0,0,0,1,1,1,1,1,1,1
SRR13662051,0,0,0,1,1,1,1,1,1,1
SRR13662052,0,0,0,1,1,1,1,1,1,1
SRR13662053,0,0,0,1,1,1,1,1,1,1
SRR13662054,0,0,0,1,1,1,1,1,0,0
SRR13662055,1,1,1,0,0,0,0,0,0,0
SRR13662056,0,0,0,1,1,1,1,1,0,1
SRR13662057,0,0,0,1,1,0,0,1,1,1
SRR13662058,0,0,0,1,1,1,1,1,1,1
SRR13662060,1,1,1,0,0,0,0,0,0,0
SRR13662061,1,1,1,0,0,0,0,0,0,0
SRR13662062,0,0,0,1,1,1,1,0,0,0
SRR13662063,1,1,1,0,0,0,0,0,0,0
SRR13662064,1,0,0,1,1,1,1,1,0,1
SRR13662065,1,0,0,1,1,1,1,1,0,1
SRR13662066,1,0,0,1,1,1,1,1,0,1
SRR13662067,1,1,1,0,0,0,0,0,0,0
SRR13662068,1,1,1,0,0,0,0,0,0,0
SRR13662069,1,1,0,1,1,1,1,1,0,1
SRR13662070,1,1,1,0,0,0,0,0,0,0
SRR13662071,1,0,0,1,1,1,1,1,0,1
SRR13662073,0,0,0,1,1,1,1,1,0,0
SRR13662074,1,1,1,0,0,0,0,0,0,0
SRR13662075,1,1,1,0,0,0,0,0,0,0
SRR13662076,1,1,1,0,0,0,0,0,0,0
SRR13662077,1,1,1,0,0,0,0,0,0,0
SRR13662078,1,1,1,0,0,0,0,0,0,0
SRR13662079,1,1,1,0,0,0,0,0,0,0
SRR13662081,1,0,0,1,1,1,1,1,0,1
SRR13662082,1,1,1,0,0,0,0,0,0,0
SRR13662083,1,1,1,0,0,0,0,0,0,0
SRR13662085,1,1,1,0,0,0,0,0,0,0
SRR13662086,1,1,1,0,0,0,0,0,0,0
SRR13662087,1,1,1,0,0,0,0,0,0,0
SRR13662088,1,1,1,0,0,0,0,0,0,0
SRR13662089,1,1,1,0,0,0,0,0,0,0
SRR13662090,1,0,0,1,1,1,1,1,0,1
SRR13662091,1,0,0,1,1,1,1,1,0,1
SRR13662092,1,0,0,1,1,1,1,1,0,1
SRR13662093,1,1,1,0,0,0,0,0,0,0
SRR13662094,1,1,1,0,0,0,0,0,0,0
SRR13662095,0,0,0,1,1,0,0,1,1,1
SRR13662096,1,1,1,0,0,0,0,0,0,0
SRR13662097,1,1,1,0,0,0,0,0,0,0
SRR13662098,1,1,1,0,0,0,0,0,0,0
SRR13662099,1,0,0,1,1,1,1,1,0,1
SRR13662100,1,0,0,1,1,1,1,1,0,1
SRR13662101,1,0,0,1,1,1,1,1,0,1
SRR13662102,1,0,0,1,1,1,1,1,0,1
SRR13662103,1,1,1,0,0,0,0,0,0,0
SRR13662104,1,1,1,0,0,0,0,0,0,0
SRR13662105,1,1,1,0,0,0,0,0,0,0
SRR13662106,0,0,0,1,1,1,1,1,0,1
SRR13662107,1,1,1,0,0,0,0,0,0,0
SRR13662108,1,1,1,0,0,0,0,0,0,0
SRR13662109,1,1,1,0,0,0,0,0,0,0
SRR13662110,1,1,1,0,0,0,0,0,0,0
SRR13662111,1,1,1,0,0,0,0,0,0,0
SRR13662112,1,1,1,0,0,0,0,0,0,0
SRR13662113,1,1,1,0,0,0,0,0,0,0
SRR13662114,1,1,1,0,0,0,0,0,0,0
SRR13662115,1,1,1,0,0,0,0,0,0,0
SRR13662116,1,1,1,0,0,0,0,0,0,0
SRR13662117,0,0,0,1,1,1,1,1,0,1
SRR13662118,1,1,1,0,0,0,0,0,0,0
SRR13662119,1,0,0,1,1,1,1,1,0,1
SRR13662120,1,1,1,0,0,0,0,0,0,0
SRR13662121,1,1,1,0,0,0,0,0,0,0
SRR13662122,1,1,1,0,0,0,0,0,0,0
SRR13662123,1,1,1,0,0,0,0,0,0,0
SRR13662124,1,1,1,0,0,0,0,0,0,0
SRR13662125,1,1,0,1,1,1,1,1,0,1
SRR13662127,1,1,1,1,1,1,0,1,0,1
SRR13662128,0,0,0,1,1,1,1,1,0,1
SRR13662129,1,1,1,0,0,0,0,0,0,0
SRR13662130,1,0,0,1,1,1,1,1,0,1
SRR3202802,0,0,0,1,1,1,1,1,1,1
SRR3203201,1,0,0,1,1,1,1,1,0,1
